region,long,lat
oakland,-122.25009,37.69934
oakland,-122.37096,37.82930
oakland,-122.19902,37.91527
oakland,-122.09383,37.72867
oakland,-122.25009,37.69934
new_haven,-72.90411,41.23975
new_haven,-73.00045,41.32040
new_haven,-72.94558,41.37730
new_haven,-72.81334,41.31307
new_haven,-72.90411,41.23975
richmond,-77.47084,37.41842
richmond,-77.62305,37.55142
richmond,-77.44808,37.64194
richmond,-77.34289,37.48871
richmond,-77.47084,37.41842
chicargo,-87.73655,41.61320
chicargo,-87.97120,41.98135
chicargo,-87.62934,42.08148
chicargo,-87.48269,41.63748
chicargo,-87.73655,41.61320
